,place_id,name,cre_id,Longitud,Latitud,regular,premium
32,2071,"Gasomac, S.A. de C.V.",PL/650/EXP/ES/2015,-99.13844,19.3231,20.99,23.59
33,2072,"Autoconsumo los Pinos, S.A. de C.V.",PL/866/EXP/ES/2015,-99.16505,19.30205,20.79,22.49
114,2153,"Inmobiliaria RAVS, S.A. de C.V.",PL/695/EXP/ES/2015,-99.08196,19.37504,21.19,22.99
118,2157,"Gasolinería México - Ajusco 1, S.A. de C.V.",PL/821/EXP/ES/2015,-99.19692,19.2289,20.19,21.99
228,2267,"PETROMAX, S.A. DE C.V.",PL/537/EXP/ES/2015,-99.10912,19.47922,20.99,22.99
233,2272,"Gasolinería Magnolias, S.A. de C.V.",PL/631/EXP/ES/2015,-99.09545,19.37437,21.39,22.99
271,2310,"Operadora Santa Elena, S.A. de C.V.",PL/694/EXP/ES/2015,-99.2113,19.2257,20.99,22.79
280,2319,"SEVEN SERVICE, S.A DE C.V.",PL/895/EXP/ES/2015,-99.16319,19.4423,20.79,22.79
295,2334,ESTACION DE SERVICIO CORCELES SA DE CV,PL/905/EXP/ES/2015,-99.23235,19.36607,21.89,22.99
303,2342,"Servicio Geyser, S.A. de C.V.",PL/855/EXP/ES/2015,-99.03545,19.36047,21.19,22.99
314,2353,"Gasolinería Colegio Militar, S.A. de C.V.",PL/662/EXP/ES/2015,-99.1646,19.26855,20.99,22.99
316,2355,"Suministro y Limpieza de Autobuses, S.A. de C.V.",PL/906/EXP/ES/2015,-99.14,19.48179,18.75,18.85
351,2390,"GPDC Estaciones de Servicio, S. A. DE C. V.",PL/787/EXP/ES/2015,-99.17616,19.4153,21.09,23.89
370,2409,"Servicio Agua Brava, S.A. de C.V.",PL/881/EXP/ES/2015,-99.13345,19.30831,20.99,22.99
372,2411,"PETROMAX, S.A. DE C.V.",PL/615/EXP/ES/2015,-99.18764,19.38079,20.99,22.99
405,2444,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/882/EXP/ES/2015,-99.12744,19.31672,21.29,23.49
438,2477,"Gasolinería Mallorca, S.A. de C.V.",PL/691/EXP/ES/2015,-99.02151,19.25752,20.99,22.79
460,2499,"Mini Servicio Jet, S.A. de C.V.",PL/659/EXP/ES/2015,-99.1517,19.33291,21.69,23.69
484,2523,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/784/EXP/ES/2015,-99.3023,19.35028,20.59,22.69
492,2531,"PETROMAX, S.A. DE C.V.",PL/472/EXP/ES/2015,-99.07513,19.3335,20.79,22.99
585,2638,"OPERADORA DE SERVICIOS REFORMA, S.A. DE C.V.",PL/1354/EXP/ES/2015,-99.26285,19.38742,20.39,22.99
610,2663,"OPERADORA DE ESTACIONES GL, S.A. DE C.V.",PL/1401/EXP/ES/2015,-99.10221,19.41709,20.79,22.99
618,2671,"SERVICIO LOMAS DE VISTA HERMOSA, S.A. DE C.V.",PL/1358/EXP/ES/2015,-99.27644,19.35361,20.39,22.99
622,2675,OPERADORA ERMITA SA DE CV,PL/1447/EXP/ES/2015,-99.09362,19.35576,21.19,22.99
633,2686,GRAZIELLA DEL SOCORRO SALAZAR Y MEDINA,PL/1419/EXP/ES/2015,-99.07858,19.41787,20.59,22.89
636,2689,MEGA GASOLINERAS S.A DE C.V,PL/1466/EXP/ES/2015,-99.15879,19.38143,20.49,23.29
650,2703,"SERVICIO CHURUBUSCO, S.A. DE C.V.",PL/1403/EXP/ES/2015,-99.1461,19.3508,20.49,22.18
662,2715,"GPDC Estaciones de Servicio, S. A. DE C. V.",PL/1444/EXP/ES/2015,-99.17624,19.43496,20.49,23.39
670,2724,Servicio Fento SA de CV,PL/1434/EXP/ES/2015,-99.05791,19.40932,20.59,21.99
707,2761,"Servicio Pointer, S.A. de C.V.",PL/1314/EXP/ES/2015,-99.20403,19.36558,21.69,23.19
709,2763,"SUPER SERVICIO GRAN PREMIO, SA DE CV",PL/1145/EXP/ES/2015,-99.28928,19.35926,20.29,22.29
723,2777,"SERVICIO MACARMEX, S,A. (E2783)",PL/1035/EXP/ES/2015,-99.10468,19.44016,20.69,22.59
740,2794,"SERVICIO ORDAZ Y CARABALLO, S. A.",PL/1211/EXP/ES/2015,-99.1657,19.47119,20.59,22.59
745,2799,"Estación de Servicio GAALBO, S.A de C.V.",PL/978/EXP/ES/2015,-99.1833,19.44335,20.49,22.99
749,2803,SERVICIO J GUTIERREZ SA DE CV,PL/1316/EXP/ES/2015,-99.19034,19.34644,21.99,23.18
750,2804,Unidad Leo SA,PL/975/EXP/ES/2015,-99.17193,19.28072,20.4,22.35
753,2807,"Estación de Servicio Nuevo Milenio, S.A. de C.V.",PL/1000/EXP/ES/2015,-99.08612,19.44235,19.99,21.99
764,2818,SERVICIO DANIELA S.A. DE C.V.,PL/941/EXP/ES/2015,-99.13982,19.38429,21.49,22.99
766,2820,"ESTACION DE SERVICIO ESTADIO, S.A. DE C.V. (E0057)",PL/1012/EXP/ES/2015,-99.15987,19.41204,20.99,21.19
771,2825,"Servicio Cipreses, S.A. de C.V.",PL/1002/EXP/ES/2015,-99.06293,19.30509,21.49,22.99
772,2826,LA VICENTINA SA DE CV,PL/985/EXP/ES/2015,-99.06796,19.36429,21.29,22.99
775,2829,MEGA GASOLINERAS S.A DE C.V,PL/963/EXP/ES/2015,-99.16151,19.36459,20.59,23.49
814,2868,SERVICIO PERIVIA S.A. DE C.V..,PL/990/EXP/ES/2015,-99.19176,19.4012,21.3,22.9
830,2884,"GRAFEL, S.A.",PL/1308/EXP/ES/2015,-99.15749,19.46442,19.94,22.04
831,2885,"GPDC Estaciones de Servicio, S. A. DE C. V.",PL/1144/EXP/ES/2015,-99.12174,19.36013,20.09,22.89
836,2890,"SERVICIO MARVIC, S. A. DE C. V.",PL/1125/EXP/ES/2015,-99.05486,19.39671,20.22,22.17
839,2893,OPERADORA LILAS SA DE CV,PL/1098/EXP/ES/2015,-99.2459,19.38675,21.19,23.1
846,2900,SERVICIO MIRLO S.A. DE C.V.,PL/919/EXP/ES/2015,-99.07465,19.38331,20.59,22.59
850,2904,"Servicio Victor Hugo, S.A. de C.V.",PL/1230/EXP/ES/2015,-99.15014,19.37047,21.49,23.29
875,2929,"Grupo Fraba, S. A. de C. V.",PL/942/EXP/ES/2015,-99.23338,19.31583,21.79,23.39
877,2931,"Servicio Monte Verde, S.A. de C.V.",PL/1054/EXP/ES/2015,-99.20256,19.33342,21.99,23.69
880,2934,"Burbil, S.A. de C.V.",PL/1223/EXP/ES/2015,-99.19311,19.33809,21.99,23.49
885,2939,"SERVICIO GASOLINERO XOLA, S.A. DE C.V.",PL/1156/EXP/ES/2015,-99.15357,19.39553,20.39,22.49
900,2954,"Inmobiliaria Tepepan, S.A. de C.V.",PL/918/EXP/ES/2015,-99.12668,19.26617,21.59,23.19
921,2975,GASOLINERA EL RUEDO SA DE CV,PL/952/EXP/ES/2015,-99.14684,19.47433,21.36,22.72
928,2982,"GRUPO ANHUAR, S.A. DE C.V.",PL/986/EXP/ES/2015,-99.09943,19.49441,20.5,22.3
939,2993,"PERSIMOBILE, S.A. DE C.V.",PL/1063/EXP/ES/2015,-99.11136,19.44769,19.59,21.89
982,3037,"EL PABELLON MEXICANO, S.A. DE C.V.",PL/1140/EXP/ES/2015,-99.05779,19.39715,20.29,22.89
989,3044,"TOTAL MEXICO, S.A. DE C.V.",PL/1309/EXP/ES/2015,-99.08564,19.44324,20.24,21.54
999,3054,GRUPO DISTRIBUIDOR ASOCIADO DE ENERGETICOS SA DECV,PL/1110/EXP/ES/2015,-99.18058,19.39737,20.75,22.84
1001,3056,"Servicio Ademe, S.A. de C.V.",PL/1059/EXP/ES/2015,-99.08414,19.46504,20.99,22.99
1005,3060,"Servicio Periférico Arenal, S.A. de C.V.",PL/1138/EXP/ES/2015,-99.14298,19.28233,20.59,22.29
1018,3073,"Servicio Consulado, S.A. de C.V.",PL/1229/EXP/ES/2015,-99.09222,19.45041,20.79,22.99
1021,3076,"Servicio Boturini, S.A. de C.V.",PL/1173/EXP/ES/2015,-99.1217,19.41658,20.99,22.99
1028,3083,"SUPER SERVICIO DIAMANTE, SA DE CV",PL/1053/EXP/ES/2015,-99.06403,19.33334,20.59,22.69
1059,3114,Servicio Raggas SA de CV,PL/1307/EXP/ES/2015,-99.09725,19.4114,20.59,22.99
1068,3123,FIGUER GAS SA DE CV,PL/1099/EXP/ES/2015,-99.11988,19.4362,19.74,22.56
1076,3131,"Servicio Eclipse, S.A. de C.V.",PL/1052/EXP/ES/2015,-99.24584,19.37978,20.29,23.19
1080,3135,MEGA GASOLINERAS S.A DE C.V,PL/1147/EXP/ES/2015,-99.06493,19.40282,13.79,13.79
1093,3148,SUPER SERVICIO COAPA SA DE CV,PL/981/EXP/ES/2015,-99.12498,19.29301,20.39,22.29
1144,3199,"Inmobiliaria Lirca, S.A. de C.V.",PL/1663/EXP/ES/2015,-99.12556,19.31658,20.99,23.49
1145,3200,SERVICIO CORCEL S.A. DE C.V.,PL/1911/EXP/ES/2015,-99.03369,19.40238,20.45,22.25
1150,3205,SERVICIOS AVENIDA SA DE CV,PL/1511/EXP/ES/2015,-99.17917,19.44482,20.09,21.99
1154,3209,SERVICIO TUCAN S.A. DE C.V.,PL/1869/EXP/ES/2015,-99.03146,19.389,19.79,21.79
1162,3217,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/1553/EXP/ES/2015,-99.12736,19.33902,21.29,23.39
1175,3230,"Estación Terminal del Norte, S.A. de C.V.",PL/2017/EXP/ES/2015,-99.14442,19.49026,20.99,22.99
1199,3254,"Servicio Imán, S.A. de C.V.",PL/1660/EXP/ES/2015,-99.16373,19.30743,20.79,22.49
1241,3296,"Grupo Arkane, S.A. de C.V.",PL/1662/EXP/ES/2015,-99.15421,19.38059,20.99,23.19
1246,3301,SERVICIOS ESTRELLA S.A DE C.V.,PL/1781/EXP/ES/2015,-99.08244,19.35403,20.59,22.89
1289,3344,"Servicio 2M, S.A. de C.V.",PL/1791/EXP/ES/2015,-99.22051,19.3063,21.82,23.73
1306,3361,SERVICIO AUTOMOTRIZ INSURGENTES SA DE CV,PL/1613/EXP/ES/2015,-99.18001,19.36972,21.29,23.29
1312,3367,"Administradora Boturini, S.A. de C.V.",PL/1627/EXP/ES/2015,-99.12722,19.41772,20.89,22.89
1332,3387,SERVICIO JURAMMI S.A. DE C.V.,PL/1913/EXP/ES/2015,-99.03629,19.41585,19.79,21.79
1334,3389,"SERVICIO TERREMOTES, S. A. DE C. V.",PL/1835/EXP/ES/2015,-99.07056,19.34943,20.59,22.89
1362,3417,"Servicio Clave, S.A. de C.V.",PL/1723/EXP/ES/2015,-99.14008,19.4665,20.99,22.99
1373,3428,"SUAGUE, S.A. DE C.V.",PL/1525/EXP/ES/2015,-99.16972,19.40325,20.9,22.59
1393,3448,ELIZABETH RUIZ CASAL,PL/1624/EXP/ES/2015,-99.05653,19.41301,20.59,21.99
1457,3512,SERVICIO EL BARCO S.A. DE C.V.,PL/1876/EXP/ES/2015,-99.04861,19.42048,19.79,21.79
1478,3533,"Gasolinería Palacios, S.A. de C.V.",PL/1665/EXP/ES/2015,-99.14513,19.34969,20.99,23.49
1479,3534,SERVICIO NEZA S.A. DE C.V.,PL/1868/EXP/ES/2015,-99.0423,19.40546,20.45,22.25
1481,3536,"Servicio Jardines del Pedregal, S.A. de C.V.",PL/1789/EXP/ES/2015,-99.2111,19.31853,21.82,23.73
1501,3556,"Servicio División, S.A. de C.V.",PL/1618/EXP/ES/2015,-99.13287,19.3085,20.99,23.29
1503,3558,Servicio Fagosa SA DE CV,PL/1902/EXP/ES/2015,-99.05065,19.45316,19.98,21.95
1531,3586,"JAPI, S.A. de C.V.",PL/1973/EXP/ES/2015,-99.03836,19.38745,20.22,22.22
1543,3598,"SERVICIO ERMITA, SA DE CV",PL/1768/EXP/ES/2015,-99.14361,19.36076,20.99,23.09
1557,3612,"SERVICIO ALFONSO XIII, S.A. DE C.V.",PL/1796/EXP/ES/2015,-99.20724,19.37266,20.79,21.89
1559,3614,SERVICIO NUEVA ROSITA S. A. DE C. V.,PL/1880/EXP/ES/2015,-99.10818,19.37424,21.09,22.89
1595,3650,"Servicio Eje 10, S.A. de C.V.",PL/1738/EXP/ES/2015,-99.17332,19.3364,21.49,23.49
1619,3674,"Estación de Servicio las Águilas, S.A. de C.V.",PL/1802/EXP/ES/2015,-99.21848,19.35093,21.79,23.19
