,place_id,name,cre_id,Longitud,Latitud,regular,premium,Estado
5,2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,-117.0715,32.51342,19.99,22.79,Baja California
8,2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,-116.6079,31.86546,20.49,22.49,Baja California
14,2053,"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,-117.0271,32.5279,20.39,22.99,Baja California
23,2062,Becktrop Operadora SA de CV,PL/708/EXP/ES/2015,-117.0249,32.45102,19.39,22.49,Baja California
25,2064,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,-117.0466,32.53171,19.99,22.99,Baja California
27,2066,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,-117.0226,32.51045,19.99,22.99,Baja California
47,2086,"PETROMAX, S.A. DE C.V.",PL/584/EXP/ES/2015,-115.3865,32.63511,19.09,21.09,Baja California
48,2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",PL/710/EXP/ES/2015,-116.7158,32.49946,20.89,22.79,Baja California
52,2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),PL/786/EXP/ES/2015,-116.5917,31.7838,19.89,21.65,Baja California
58,2097,"PETROMAX, S.A. DE C.V.",PL/601/EXP/ES/2015,-115.4722,32.60843,18.39,20.79,Baja California
63,2102,Becktrop Operadora SA de CV,PL/707/EXP/ES/2015,-116.953,32.49127,19.99,22.29,Baja California
65,2104,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/660/EXP/ES/2015,-116.9663,32.51104,19.87,22.69,Baja California
74,2113,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/686/EXP/ES/2015,-116.977,32.50455,18.99,22.99,Baja California
85,2124,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/639/EXP/ES/2015,-117.0602,32.53289,18.99,22.69,Baja California
89,2128,Servicio Ravello S.A de C.V.,PL/792/EXP/ES/2015,-116.917,32.49886,20.01,21.5,Baja California
90,2129,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/849/EXP/ES/2015,-115.3992,32.63718,19.19,21.59,Baja California
92,2131,"INMOBILIARIA ANADECA, S.A. DE C.V.",PL/680/EXP/ES/2015,-117.1202,32.51353,20.59,22.99,Baja California
102,2141,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/394/EXP/ES/2015,-115.5029,32.59509,18.44,20.29,Baja California
116,2155,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/678/EXP/ES/2015,-117.0082,32.52866,19.89,22.59,Baja California
125,2164,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/729/EXP/ES/2015,-116.9314,32.48362,20.19,22.99,Baja California
127,2166,Becktrop Operadora SA de CV,PL/702/EXP/ES/2015,-117.0217,32.51695,19.99,22.49,Baja California
128,2167,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/378/EXP/ES/2015,-115.4283,32.60439,18.49,20.29,Baja California
134,2173,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/393/EXP/ES/2015,-115.3589,32.55959,18.49,20.29,Baja California
135,2174,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/384/EXP/ES/2015,-115.3366,32.56762,18.49,20.29,Baja California
